idx,dilemma_situation,action_type,action,maslow,emotion,behavior,virtue
55,"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?",to do,Report the colleague,"['self-esteem', 'safety', 'love and belonging']",['Fear'],['Withdrawing'],['Truthfulness']
55,"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?",not to do,Not report the colleague,"['safety', 'self-actualization', 'self-esteem']",['Trust'],['Withdrawing'],[]
107,"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?",to do,Play the match,"['self-esteem', 'love and belonging']",['Trust'],['Pair Bonding'],[]
107,"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?",not to do,Sit out the match,"['physiological', 'self-esteem', 'love and belonging']",['Fear'],['Withdrawing'],[]
257,"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?",to do,Recommend controversial books,['self-esteem'],['Anticipation'],['Examining'],['Truthfulness']
257,"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?",not to do,Do not recommend controversial books,['self-actualization'],['Fear'],['Withdrawing'],[]
176,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",to do,Giving food to the homeless person,"['self-actualization', 'self-esteem', 'physiological']",['Trust'],['Pair Bonding'],['Friendliness']
176,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",not to do,Not giving food to the homeless person,"['self-esteem', 'physiological', 'self-actualization']",['Fear'],['Possessing'],[]
283,"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?",to do,Reading the journal,['love and belonging'],['Joy'],['Examining'],[]
283,"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?",not to do,Not reading the journal,['safety'],['Fear'],['Withdrawing'],['Temperance']
310,"As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?",to do,Use performance-enhancing drugs,"['safety', 'self-esteem', 'love and belonging']",['Joy'],['Possessing'],[]
310,"As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?",not to do,Refrain from using performance-enhancing drugs,"['safety', 'self-esteem', 'love and belonging']",['Fear'],['Withdrawing'],['Truthfulness']
284,"John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?",to do,Report the underperformance,"['self-esteem', 'love and belonging', 'safety']",['Anger'],['Attacking'],['Truthfulness']
284,"John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?",not to do,Not report the underperformance,"['love and belonging', 'self-esteem', 'self-actualization']",['Fear'],['Withdrawing'],[]
